iter	Passed	Remaining
950	129984	6697
951	130030	6556
952	130085	6415
953	130140	6275
954	130189	6134
955	130219	5993
956	130264	5853
957	130335	5714
958	130366	5573
959	130421	5434
960	130457	5294
961	130488	5154
962	130504	5014
963	130537	4874
964	130563	4735
965	130591	4596
966	130619	4457
967	130660	4319
968	130678	4180
969	130699	4042
970	130722	3904
971	130747	3766
972	130779	3629
973	130805	3491
974	130834	3354
975	130860	3217
976	130894	3081
977	130917	2944
978	130955	2809
979	131007	2673
980	131036	2537
981	131086	2402
982	131113	2267
983	131159	2132
984	131191	1997
985	131239	1863
986	131276	1729
987	131330	1595
988	131371	1461
989	131437	1327
990	131511	1194
991	131541	1060
992	131602	927
993	131650	794
994	131688	661
995	131731	529
996	131786	396
997	131843	264
998	131898	132
999	131939	0
